Model,Accuracy_With,Accuracy_Without,Accuracy_Diff,Accuracy_Diff_Pct,Precision_With,Precision_Without,Precision_Diff,Precision_Diff_Pct,Recall_With,Recall_Without,Recall_Diff,Recall_Diff_Pct,F1-Score_With,F1-Score_Without,F1-Score_Diff,F1-Score_Diff_Pct,ROC-AUC_With,ROC-AUC_Without,ROC-AUC_Diff,ROC-AUC_Diff_Pct
Multinomial Naive Bayes,0.927921233512911,0.9288500835965076,-0.0009288500835965552,-0.10000000000000511,0.9314997854425924,0.931972339332289,-0.00047255388969658085,-0.050704711905413605,0.927921233512911,0.9288500835965076,-0.0009288500835965552,-0.10000000000000511,0.9219762391231932,0.9232100577424474,-0.0012338186192542011,-0.13364440832363697,0.956619615021559,0.947831814099864,0.008787800921695066,0.9271477060559163
Logistic Regression,0.9360951142485604,0.9347947241315252,0.0013003901170351995,0.13910969793323685,0.938035117790741,0.936748471038773,0.0012866467519679903,0.13735242615781484,0.9360951142485604,0.9347947241315252,0.0013003901170351995,0.13910969793323685,0.9319057979836388,0.930431671700104,0.0014741262835348268,0.1584346630033856,0.9711662423762382,0.9662610741567834,0.0049051682194547475,0.5076441916834212
LDA-based Classifier,0.803455322310979,0.8060561025450492,-0.002600780234070177,-0.3226549896289413,0.734305418123113,0.649726440450115,0.08457897767299805,13.01762902159311,0.803455322310979,0.8060561025450492,-0.002600780234070177,-0.3226549896289413,0.7302138246482581,0.7194975167543651,0.010716307893892996,1.4894155496510935,0.6556844541929696,0.6186520897959256,0.03703236439704405,5.985975802532227
