Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Multinomial Naive Bayes,0.9264350733791566,0.9292228886337021,0.9264350733791566,0.9205395774133046,0.950022693577541
Logistic Regression,0.935909344231841,0.9370952416584687,0.935909344231841,0.9319991179173821,0.9674350473607016
LDA-based Classifier,0.8140442132639792,0.7785354321974123,0.8140442132639792,0.7692235302787152,0.7181679527832304
