Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Multinomial Naive Bayes,0.9262493033624373,0.9291689267765495,0.9262493033624373,0.9202744548612983,0.9517366326439607
Logistic Regression,0.9353520341816831,0.9369059660440354,0.9353520341816831,0.9312184867977521,0.9688018497473243
LDA-based Classifier,0.8233327140999442,0.796877160647807,0.8233327140999442,0.786836900474699,0.7654191600903858
